card_id,date,price,scrap_date,source_id,dl_loaded_date
24714A,2023-04-03,27039,2023-05-04T08:18:34.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
24714A,2023-04-15,26833,2023-05-04T08:18:34.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
24714A,2023-04-27,26521,2023-05-04T08:18:34.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
PN304521R,2023-04-01,27998,2023-05-04T08:24:09.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
PN304521R,2023-04-04,27498,2023-05-04T08:24:09.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
PN304521R,2023-04-25,26998,2023-05-04T08:24:09.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
H6247,2022-11-10,31885,2023-05-04T08:18:49.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
H6247,2022-11-15,30970,2023-05-04T08:18:49.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
H6247,2022-12-22,29939,2023-05-04T08:18:49.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
H6247,2023-02-03,29555,2023-05-04T08:18:49.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
H6247,2023-03-03,29444,2023-05-04T08:18:49.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
EB4380,2023-03-15,30503,2023-05-04T08:30:07.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
EB4380,2023-03-17,28995,2023-05-04T08:30:07.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
EB4380,2023-03-19,29895,2023-05-04T08:30:07.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
I368797,2023-03-20,25421,2023-05-04T08:20:59.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
I368797,2023-03-23,24600,2023-05-04T08:20:59.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
I368797,2023-04-03,25662,2023-05-04T08:20:59.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
I368797,2023-04-07,24500,2023-05-04T08:20:59.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
I368797,2023-04-11,24000,2023-05-04T08:20:59.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
I368797,2023-04-19,24500,2023-05-04T08:20:59.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
I368797,2023-04-27,23500,2023-05-04T08:20:59.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
H511023,2022-10-12,31775,2023-05-04T08:37:16.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
H511023,2023-01-12,31140,2023-05-04T08:37:16.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
