card_id,vehicle,year,price_range,price_usd,location,home_delivery,virtual_appointments,included_warranty,VIN,transmission,transmission_type,engine,engine_vol,fuel,mpg,milage,milage_unit,body,drive,color,one_owner,accidents_or_damage,clean_title,personal_use_only,comment,scrap_date,source_id,dl_loaded_date
N63226A,Nissan Kicks SR,2023,20000-29999,26951,"1320 E Interstate 20 Arlington, TX 76018",N,N,Y,3N1CP5DV8PL485659,Automatic CVT,CVT,1.6L I4 16V MPFI DOHC,1600.0,Gasoline,"",4837,mi.,suv,Front-wheel Drive,Boulder Gray Pearl,Yes,None reported,,Yes,"NON SMOKER, APPLE CAR PLAY, ANDRIOD AUTO, BLUETOOTH HANDS FREE CALLING, BLUETOOTH STREAMING AUDIO, SIRIUS/XM RADIO, REAR BACKUP CAMERA, BLIND SPOT WARNING, AUTOMATIC EMERGENCY BRAKING, ALLOY WHEELS, KEYLESS ENTRY, CLEAN CARFAX, LOCAL TRADE, Feeling|…|safe and secure is important for you and your family., Look at this Beauty!, On a budget? Save fuel $$$ with this great car!, 4-Wheel Disc Brakes, Air Conditioning, Auto High-beam Headlights, Automatic temperature control, Blind Spot Warning, Bose Personal Plus Audio System, Brake assist, Delay-off headlights, Dual front side impact airbags, Electronic Stability Control, Exterior Parking Camera Rear, Front wheel independent suspension, Fully automatic headlights, Heated door mirrors, Heated Front Seats, Heated Steering Wheel, NissanConnect Services, Passenger vanity mirror, Power steering, Power windows, Prima-Tex Appointed Seat Trim, Rear Parking Sensors, Rear reading lights, Rear window defroster, Remote keyless entry, Security System, SR Premium Package, Steering wheel mounted audio controls, Tachometer, Technology Package, Tilt steering wheel, Tonneau Cover.Certified.Nissan Certified Details: Plus 1 Year Pre-Paid Maintenance Included. Vehicle History Transferable Warranty Warranty Deductible: $100 Limited Warranty: 84 Month/100,000 Mile (whichever comes first) from original in-service date Roadside Assistance 167 Point InspectionBoulder Gray Pearl 2023 Nissan Kicks SR FWD CVT with Xtronic 1.6L 4-Cylinder DOHC 16V",2023-05-04T08:16:45.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
WB5168L,Mitsubishi Eclipse Cross LE,2023,20000-29999,27496,"3400 Highway 61 White Bear Lake, MN 55110",N,N,N,JA4ATVAA9PZ002118,Automatic CVT,CVT,1.5L I4 16V GDI DOHC Turbo,1500.0,Gasoline,"",4877,mi.,suv,Four-wheel Drive,Labrador Black Pearl,Yes,None reported,,No,"CARFAX One-Owner. Clean CARFAX.|Labrador Black Pearl 2023 Mitsubishi Eclipse Cross LE 4WD|4 Speakers, Air Conditioning, AM/FM radio: SiriusXM, Android Auto & Apple CarPlay, Automatic temperature control, Power windows, Radio: AM/FM 8.0 Smartphone-Link Display Audio, Remote keyless|…|entry.|Why do our guests love buying vehicles from White Bear Mitsubishi? It could be our numerous 5-star reviews on Google or our transparent, best price first pricing promise. Maybe it's the fact that most of our vehicles qualify for a seven-day return policy or 30 day exchange or that our salespeople are not paid on commission. Come see why people love buying cars at White Bear Mitsubishi!",2023-05-04T08:28:33.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
PN357577,Nissan Altima 2.5 SV,2023,20000-29999,27991,"17510 I-45 North Freeway Houston, TX 77090",Y,Y,N,1N4BL4DV7PN357577,Automatic CVT,CVT,2.5L I4 16V GDI DOHC,2500.0,Gasoline,"",4539,mi.,sedan,Front-wheel Drive,White,Yes,None reported,,Yes,"The following items have been reconditioned on this vehicle: new pair of tires!  [L94] Floor Mats/Trunk Mat/Hideaway Net  [B10] Body-Colored Splash Guards  [M92] Trunk Organizer Tray  [B92] Chrome Bumper Protector  Keyless Start  Bluetooth Connection  [C03] 50 State Emissions  Charcoal; Clot|…|h Seat Trim  Pearl White TricoatThis vehicle includes a Money-Back Guarantee and passed our precise inspection process. Best of all the price you see is the price you pay. No haggling. No back and forth. No pressure. And this price is so good it is guaranteed. Money-Back Guarantee is valid for 5 days or 250 miles, whichever comes first. Subject to certain terms and conditions. See store for details. Some restrictions apply.Thank you for visiting another one of Mercedes-Benz of Houston North's online listings! Please continue for more information on this 2023 Nissan Altima 2.5 SV with 4,537mi. When you purchase a vehicle with the CARFAX Buyback Guarantee, you're getting what you paid for. The Nissan Altima 2.5 SV is economically and environmentally smart. Nissan clearly delivers on its promise to provide a fuel-efficient vehicle that has the great qualities you need in a vehicle. You can finally stop searching... You've found the one you've been looking for. There are many vehicles on the market but if you are looking for a vehicle that will perform as good as it looks then this Nissan Altima 2.5 SV is the one!",2023-05-04T08:54:46.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
LM216,MINI Hardtop Cooper S,2023,20000-29999,28795,"154 Post Rd Darien, CT 06820",N,N,N,WMW53DK07P2S77029,7-Speed Automatic,Automatic,2.0L I4 16V GDI DOHC Turbo,2000.0,Gasoline,"",7695,mi.,hatchback,Front-wheel Drive,Gray Metallic,Yes,None reported,,No,"Bluetooth, Backup Camera, CLEAN CARFAX HISTORY, TURBO CHARGED, ONE OWNER, HEATED SEATS, ABS brakes, Alloy wheels, Brake assist, Comfort Access Keyless Entry, Electronic Stability Control, Emergency communication system, Front dual zone A/C, Heated door mirrors, Heated Front Seats, Heated front seats|…|, Illuminated entry, Low tire pressure warning, Power moonroof, Rear-View Camera, Remote keyless entry, Traction control. Priced below KBB Fair Purchase Price! Clean CARFAX. CARFAX One-Owner. Gray Metallic 2023 MINI Cooper S Classic FWD 7-Speed Automatic 2.0L 16V TwinPower Turbo 29/38 City/Highway MPG",2023-05-04T08:15:29.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
WB5236L,Mitsubishi Eclipse Cross LE,2023,20000-29999,27496,"3400 Highway 61 White Bear Lake, MN 55110",N,N,N,JA4ATVAA4PZ002589,Automatic CVT,CVT,1.5L I4 16V GDI DOHC Turbo,1500.0,Gasoline,"",5887,mi.,suv,Four-wheel Drive,Alloy Silver Metallic,Yes,None reported,,No,"CARFAX One-Owner. Clean CARFAX.|Alloy Silver Metallic 2023 Mitsubishi Eclipse Cross LE 4WD|4 Speakers, Air Conditioning, AM/FM radio: SiriusXM, Android Auto & Apple CarPlay, Automatic temperature control, Heated front seats, Power windows, Radio: AM/FM 8.0 Smartphone-Link Display A|…|udio, Remote keyless entry, Wheels: 18 Black Painted Alloy.|Why do our guests love buying vehicles from White Bear Mitsubishi? It could be our numerous 5-star reviews on Google or our transparent, best price first pricing promise. Maybe it's the fact that most of our vehicles qualify for a seven-day return policy or 30 day exchange or that our salespeople are not paid on commission. Come see why people love buying cars at White Bear Mitsubishi!",2023-05-04T08:40:43.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
22C150A,Hyundai Elantra SEL,2023,20000-29999,22988,"5000 S Broadway Englewood, CO 80113",Y,Y,N,KMHLM4AG9PU371936,Automatic CVT,CVT,2.0L I4 16V MPFI DOHC,2000.0,Gasoline,"",6843,mi.,sedan,Front-wheel Drive,Phantom Black,Yes,None reported,,Yes,"Phantom Black 2023 Hyundai Elantra SEL Clean CARFAX. CARFAX One-Owner. FWD IVT I4 Elantra SEL, I4, Phantom Black, Medium Gray w/Cloth Seat Trim, 16 x 6.5J Alloy Wheels, 6 Speakers, AM/FM radio: SiriusXM, Automatic temperature control, Cargo Side Bins, Emergency communication system: Blue Link Connec|…|ted Car Service (3-year complimentary subscription), First Aid Kit, Option Group 01, Preferred Accessory Package, Radio: AM/FM/HD/SiriusXM Display Audio, Trunk/Cargo Hook.30/40 City/Highway MPG",2023-05-04T08:19:27.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
WB5149L,Mitsubishi Eclipse Cross LE,2023,20000-29999,27496,"3400 Highway 61 White Bear Lake, MN 55110",N,N,N,JA4ATVAA4PZ001989,Automatic CVT,CVT,1.5L I4 16V GDI DOHC Turbo,1500.0,Gasoline,"",4297,mi.,suv,Four-wheel Drive,White Diamond,Yes,None reported,,No,"Clean CARFAX.|White Diamond 2023 Mitsubishi Eclipse Cross LE 4WD|4 Speakers, Air Conditioning, Android Auto & Apple CarPlay, Automatic temperature control, Heated front seats, Power door mirrors, Power windows, Radio: AM/FM 8.0 Smartphone-Link Display Audio, Remote keyless entry, W|…|heels: 18 Black Painted Alloy.|Why do our guests love buying vehicles from White Bear Mitsubishi? It could be our numerous 5-star reviews on Google or our transparent, best price first pricing promise. Maybe it's the fact that most of our vehicles qualify for a seven-day return policy or 30 day exchange or that our salespeople are not paid on commission. Come see why people love buying cars at White Bear Mitsubishi!",2023-05-04T08:30:13.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
2014SL,Hyundai Sonata SEL,2023,20000-29999,27995,"5625 Veterans Memorial Pkwy St Peters, MO 63376",Y,N,Y,KMHL64JAXPA257144,Automatic,Automatic,2.5L I4 16V PDI DOHC,2500.0,Gasoline,"",8619,mi.,sedan,Front-wheel Drive,Portofino Gray,Yes,At least 1 accident or damage reported,,No,"Backup Camera,Heated Seats Recent Arrival! 2023 Hyundai Sonata SEL Portofino Gray Dark Gray w/Premium Cloth Seating Surfaces. Hyundai Certified Pre-Owned Details:  Powertrain Limited Warranty: 120 Month/100,000 Mile (whichever comes first) from original in-service date  173+ Point Inspection  Roa|…|dside Assistance  Vehicle History  Limited Warranty: 60 Month/60,000 Mile (whichever comes first) from original in-service date  Warranty Deductible: $50  Includes 10-year/Unlimited mileage Roadside Assistance with Rental Car and Trip Interruption Reimbursement; Please see dealers for specific vehicle eligibility requirements. 10-Year/100,000 Mile Hybrid/EV Battery Warranty. 3 months Siru-iusXM trial subscription 27/37 City/Highway MPG If you're in the market for a new or used car, you've come to the right place. The staff at St. Charles Nissan/ Hyundai is committed to helping you find the right vehicle for your needs. What's more, they're also dedicated to helping you maintain it long after you drive it home for the first time. St.Charles Nissan/Hyundai is not responsible for any errors on vehicle options. Some prices and videos are subject to change.",2023-05-04T08:34:45.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
3039398,Kia Sportage LX,2023,20000-29999,27852,"3306 East Kearney Street Springfield, MO 65803",N,N,N,KNDPUCAF5P7039398,8-Speed Automatic,Automatic,2.5L I4 16V PDI DOHC,2500.0,Gasoline,"",29362,mi.,suv,All-wheel Drive,Fusion Orange,Yes,None reported,,No,"Corwin Chrysler Dodge Jeep Ram Fiat is pleased to offer this. Kia Sportage that is well equipped and includes these key features and benefits, 1 OWNER CLEAN CARFAX.......ALL WHEEL DRIVE.......BACK UP CAMERA.........FORWARD COLLISION AVOIDANCE SYSTEM.........LANE DEPARTURE WARNING..........LANE KEEPI|…|NG ASSIST..........DRIVER ATTENTION WARNING..........PARKING DISTANCE WARNING............8 TOUCH SCREEN......HEATED SEATS.......USB..........ALLOY WHEELS.........LED LIGHTS.......... CARFAX One-Owner. Clean CARFAX. 2023 Kia Sportage LX AWD 8-Speed Automatic I4 Fusion Black 23/28 City/Highway MPG Certification Program Details: J.D. POWER EDGE Certified Pre-Owned Details: 90 day/3000 Mile Mile Coverage Limited Warranty covers major vehicle components  165 Point Inspection  Towing Coverage  Rental Car Coverage  Warranty Deductible: $50 Our Internet Value Pricing Mission at Corwin Dodge of Springfield is to present Value Pricing to all of our customers. Internet Pricing is achieved by polling over 70,000 pre-owned websites hourly. This ensures that every one of our customers receives real-time Value Pricing on every pre-owned vehicle we sell. We do not artificially inflate our pre-owned prices in hopes of winning a negotiating contest with our customers! We do not play pricing games. After being in business for 100 years, we realized that Internet Value Pricing is by far the best approach for our customers.",2023-05-04T08:51:03.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
3S3461A,Toyota Camry LE,2023,20000-29999,29384,"1100 S Central Expy McKinney, TX 75070",Y,Y,N,4T1C11AK3PU128392,8-Speed Automatic,Automatic,2.5L I4 16V PDI DOHC,2500.0,Gasoline,"",5058,mi.,sedan,Front-wheel Drive,Ice,Yes,None reported,Yes,Yes,"This vehicle has passed a rigorous 125 point mechanical inspection by a Certified Technician so it is 100,000 MILE COMPREHENSIVE EXTENDED WARRANTY ELIGIBLE. OUR VEHICLES COME WITH THESE EXCLUSIVE BENEFITS LOW PRICE PROMISE(1) We will beat any competitors price or we will give it to you! PRE-OWNED PR|…|OMISE(2) 3 month / 3,000 mile Limited Powertrain Warranty 72 HOUR EXCHANGE PROMISE(3) Within 72 hours or 300 miles, exchange your vehicle for another in stock 100% CUSTOMER SATISFACTION Our absolute goal is to have you as a Tomes Auto Group customer for life! SEE YOUR SALES CONSULTANT FOR MORE DETAILS. CARFAX One-Owner. Clean CARFAX. White 2023 Toyota Camry LE FWD 8-Speed Automatic 2.5L I4 DOHC 16V Gray Cloth. Recent Arrival! 28/39 City/Highway MPG",2023-05-04T08:53:46.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
