card_id,url,source_file_name,scrap_date,source_id,dl_loaded_date
H12284S,https://www.cars.com/vehicledetail/96fa719e-8a99-44fa-989a-bed918c01229/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_20000-29999/https---www-cars-com-vehicledetail-96fa719e-8a99-44fa-989a-bed918c01229-.json,2023-05-04T08:45:59.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
86444A,https://www.cars.com/vehicledetail/1fe41e7e-5c58-449d-a955-0860f432f62c/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_20000-29999/https---www-cars-com-vehicledetail-1fe41e7e-5c58-449d-a955-0860f432f62c-.json,2023-05-04T08:30:39.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
VUPM307957,https://www.cars.com/vehicledetail/2942fcb1-02c4-4d96-9712-59ae8d66ec37/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_20000-29999/https---www-cars-com-vehicledetail-2942fcb1-02c4-4d96-9712-59ae8d66ec37-.json,2023-05-04T08:29:50.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
Q27809A,https://www.cars.com/vehicledetail/ccd889b8-6163-4044-a12a-5e44bbcb6023/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_20000-29999/https---www-cars-com-vehicledetail-ccd889b8-6163-4044-a12a-5e44bbcb6023-.json,2023-05-04T08:50:37.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
PU996184P,https://www.cars.com/vehicledetail/a8f84e2a-8650-41cf-b37b-841d3bed5e32/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_20000-29999/https---www-cars-com-vehicledetail-a8f84e2a-8650-41cf-b37b-841d3bed5e32-.json,2023-05-04T08:53:40.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
YPJ7929,https://www.cars.com/vehicledetail/22ecf064-81e4-4ce3-a8cd-b3f78bfb1100/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_20000-29999/https---www-cars-com-vehicledetail-22ecf064-81e4-4ce3-a8cd-b3f78bfb1100-.json,2023-05-04T08:19:07.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
3700358A,https://www.cars.com/vehicledetail/236c562e-9672-439d-a3d1-061f1d0c3740/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_20000-29999/https---www-cars-com-vehicledetail-236c562e-9672-439d-a3d1-061f1d0c3740-.json,2023-05-04T08:44:34.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
SP250,https://www.cars.com/vehicledetail/743f0eae-f457-4cef-b098-fe55ca63ff5a/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_20000-29999/https---www-cars-com-vehicledetail-743f0eae-f457-4cef-b098-fe55ca63ff5a-.json,2023-05-04T08:43:20.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
K23244A,https://www.cars.com/vehicledetail/9f3c8dba-12dd-49f5-91ce-c5415a33425a/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_20000-29999/https---www-cars-com-vehicledetail-9f3c8dba-12dd-49f5-91ce-c5415a33425a-.json,2023-05-04T08:52:31.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
AP1107B,https://www.cars.com/vehicledetail/e6163ae0-969d-4f3e-805a-f28bd96607a6/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_20000-29999/https---www-cars-com-vehicledetail-e6163ae0-969d-4f3e-805a-f28bd96607a6-.json,2023-05-04T08:39:22.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
CH1479,https://www.cars.com/vehicledetail/a52281b5-0ad3-4382-80cd-596879be4eaf/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_20000-29999/https---www-cars-com-vehicledetail-a52281b5-0ad3-4382-80cd-596879be4eaf-.json,2023-05-04T08:43:54.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
