card_id,url,source_file_name,scrap_date,source_id,dl_loaded_date
N63226A,https://www.cars.com/vehicledetail/91ec3f7c-6a6d-4b3b-a0e3-2b53f990c97d/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_20000-29999/https---www-cars-com-vehicledetail-91ec3f7c-6a6d-4b3b-a0e3-2b53f990c97d-.json,2023-05-04T08:16:45.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
WB5168L,https://www.cars.com/vehicledetail/b217890d-6839-464d-9ccd-6c63f01188a7/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_20000-29999/https---www-cars-com-vehicledetail-b217890d-6839-464d-9ccd-6c63f01188a7-.json,2023-05-04T08:28:33.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
PN357577,https://www.cars.com/vehicledetail/b8c2c0b2-324c-4238-9f3f-8c3fe4b31f0b/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_20000-29999/https---www-cars-com-vehicledetail-b8c2c0b2-324c-4238-9f3f-8c3fe4b31f0b-.json,2023-05-04T08:54:46.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
LM216,https://www.cars.com/vehicledetail/5ef45687-821a-46a5-8653-bfd03bd38593/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_20000-29999/https---www-cars-com-vehicledetail-5ef45687-821a-46a5-8653-bfd03bd38593-.json,2023-05-04T08:15:29.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
WB5236L,https://www.cars.com/vehicledetail/77dc72d7-f394-46a9-a039-a5d9997f727c/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_20000-29999/https---www-cars-com-vehicledetail-77dc72d7-f394-46a9-a039-a5d9997f727c-.json,2023-05-04T08:40:43.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
22C150A,https://www.cars.com/vehicledetail/9ca4a3e3-95fa-43aa-b3af-465e21904978/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_20000-29999/https---www-cars-com-vehicledetail-9ca4a3e3-95fa-43aa-b3af-465e21904978-.json,2023-05-04T08:19:27.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
WB5149L,https://www.cars.com/vehicledetail/a87a0f08-19e6-41eb-8641-83ed94e9e584/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_20000-29999/https---www-cars-com-vehicledetail-a87a0f08-19e6-41eb-8641-83ed94e9e584-.json,2023-05-04T08:30:13.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
2014SL,https://www.cars.com/vehicledetail/b345a098-72a7-41d3-8019-e86c0b1b57e8/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_20000-29999/https---www-cars-com-vehicledetail-b345a098-72a7-41d3-8019-e86c0b1b57e8-.json,2023-05-04T08:34:45.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
3039398,https://www.cars.com/vehicledetail/141cce2a-097c-4508-978e-e2cf61d56a96/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_20000-29999/https---www-cars-com-vehicledetail-141cce2a-097c-4508-978e-e2cf61d56a96-.json,2023-05-04T08:51:03.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
3S3461A,https://www.cars.com/vehicledetail/f1dff9cf-cab2-4eed-9df7-5c27f7950011/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_20000-29999/https---www-cars-com-vehicledetail-f1dff9cf-cab2-4eed-9df7-5c27f7950011-.json,2023-05-04T08:53:46.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
WB5254L,https://www.cars.com/vehicledetail/caa48204-f95a-4754-9906-445655eaad04/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_20000-29999/https---www-cars-com-vehicledetail-caa48204-f95a-4754-9906-445655eaad04-.json,2023-05-04T08:35:51.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
RC406030,https://www.cars.com/vehicledetail/45a2eb95-e764-47cb-8214-6373005dacde/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_20000-29999/https---www-cars-com-vehicledetail-45a2eb95-e764-47cb-8214-6373005dacde-.json,2023-05-04T08:57:02.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
CTP0092,https://www.cars.com/vehicledetail/78ce7ff1-9fc2-433d-bb07-6842592f0e05/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_20000-29999/https---www-cars-com-vehicledetail-78ce7ff1-9fc2-433d-bb07-6842592f0e05-.json,2023-05-04T08:30:25.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
PA9628,https://www.cars.com/vehicledetail/6e9f5bbf-7e32-4722-af1f-cf833baa5f55/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_20000-29999/https---www-cars-com-vehicledetail-6e9f5bbf-7e32-4722-af1f-cf833baa5f55-.json,2023-05-04T08:52:12.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
