card_id,url,source_file_name,scrap_date,source_id,dl_loaded_date
33217K,https://www.cars.com/vehicledetail/453bd5d5-361f-43d6-80ff-d948b5dba45e/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-01-08-00-22/2023/price_20000-29999/https---www-cars-com-vehicledetail-453bd5d5-361f-43d6-80ff-d948b5dba45e-.json,2023-05-01T08:02:40.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
WS0099,https://www.cars.com/vehicledetail/26816667-0f4c-4541-b18f-6ca2be3b4902/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-01-08-00-22/2023/price_20000-29999/https---www-cars-com-vehicledetail-26816667-0f4c-4541-b18f-6ca2be3b4902-.json,2023-05-01T08:05:41.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
K058436A,https://www.cars.com/vehicledetail/1f9b3c8b-5e4b-4dc8-9f29-8aff15b258bb/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-01-08-00-22/2023/price_20000-29999/https---www-cars-com-vehicledetail-1f9b3c8b-5e4b-4dc8-9f29-8aff15b258bb-.json,2023-05-01T08:03:02.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
23188A,https://www.cars.com/vehicledetail/2847354d-c8e0-400f-a9d9-34d7a0fe60f9/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-01-08-00-22/2023/price_20000-29999/https---www-cars-com-vehicledetail-2847354d-c8e0-400f-a9d9-34d7a0fe60f9-.json,2023-05-01T08:05:45.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
15109113,https://www.cars.com/vehicledetail/e9f99abc-efe9-40f6-92a1-16830cbe2a40/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-01-08-00-22/2023/price_20000-29999/https---www-cars-com-vehicledetail-e9f99abc-efe9-40f6-92a1-16830cbe2a40-.json,2023-05-01T08:05:21.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
U3342,https://www.cars.com/vehicledetail/6e966dee-8676-461f-89b1-c86377ed6b94/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-01-08-00-22/2023/price_20000-29999/https---www-cars-com-vehicledetail-6e966dee-8676-461f-89b1-c86377ed6b94-.json,2023-05-01T08:05:48.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
149164,https://www.cars.com/vehicledetail/e8bc6399-3af6-4d73-abe0-9eedff6be301/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-01-08-00-22/2023/price_20000-29999/https---www-cars-com-vehicledetail-e8bc6399-3af6-4d73-abe0-9eedff6be301-.json,2023-05-01T08:02:25.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
188566A,https://www.cars.com/vehicledetail/ced6fe3b-d012-45e9-b2d9-5575ca71052d/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-01-08-00-22/2023/price_20000-29999/https---www-cars-com-vehicledetail-ced6fe3b-d012-45e9-b2d9-5575ca71052d-.json,2023-05-01T08:02:29.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
PA1940,https://www.cars.com/vehicledetail/a39b78d2-ce36-4473-9fb0-3ca9a705e32b/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-01-08-00-22/2023/price_20000-29999/https---www-cars-com-vehicledetail-a39b78d2-ce36-4473-9fb0-3ca9a705e32b-.json,2023-05-01T08:03:13.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
23A0593,https://www.cars.com/vehicledetail/e1f4178f-8574-4231-ba2e-d6337a07bd7a/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-01-08-00-22/2023/price_20000-29999/https---www-cars-com-vehicledetail-e1f4178f-8574-4231-ba2e-d6337a07bd7a-.json,2023-05-01T08:06:24.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
