card_id,url,source_file_name,scrap_date,source_id,dl_loaded_date
232411A,https://www.cars.com/vehicledetail/2e26ebf7-616a-4596-93b0-0b45ce88dd3d/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_20000-29999/https---www-cars-com-vehicledetail-2e26ebf7-616a-4596-93b0-0b45ce88dd3d-.json,2023-05-04T08:36:56.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
ML2047,https://www.cars.com/vehicledetail/5fe1d024-b9ae-40b3-8957-21922a782a28/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_20000-29999/https---www-cars-com-vehicledetail-5fe1d024-b9ae-40b3-8957-21922a782a28-.json,2023-05-04T08:23:15.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
PA274844,https://www.cars.com/vehicledetail/d8c19b34-ccb7-4e86-abe2-3398abc0221f/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_20000-29999/https---www-cars-com-vehicledetail-d8c19b34-ccb7-4e86-abe2-3398abc0221f-.json,2023-05-04T08:34:12.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
24185950,https://www.cars.com/vehicledetail/adfc18b9-4cf1-4f38-921c-e56c9a57d659/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_20000-29999/https---www-cars-com-vehicledetail-adfc18b9-4cf1-4f38-921c-e56c9a57d659-.json,2023-05-04T08:24:58.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
P9849A,https://www.cars.com/vehicledetail/07d896ff-18ae-4724-b1fa-5480b56b639d/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_20000-29999/https---www-cars-com-vehicledetail-07d896ff-18ae-4724-b1fa-5480b56b639d-.json,2023-05-04T08:29:34.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
D568816,https://www.cars.com/vehicledetail/a93aa9f0-e906-4be0-b52b-66b0f426bae1/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_20000-29999/https---www-cars-com-vehicledetail-a93aa9f0-e906-4be0-b52b-66b0f426bae1-.json,2023-05-04T08:48:16.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
20748A,https://www.cars.com/vehicledetail/9bff7c1c-685f-4139-a918-0e9743e97fc7/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_20000-29999/https---www-cars-com-vehicledetail-9bff7c1c-685f-4139-a918-0e9743e97fc7-.json,2023-05-04T08:56:47.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
GP408,https://www.cars.com/vehicledetail/d72d1735-15dc-4ac5-8de9-8319f139f610/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_20000-29999/https---www-cars-com-vehicledetail-d72d1735-15dc-4ac5-8de9-8319f139f610-.json,2023-05-04T08:53:56.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
132354,https://www.cars.com/vehicledetail/29eccd64-fdef-4619-a65e-5ac773482cb1/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_10000-19999/https---www-cars-com-vehicledetail-29eccd64-fdef-4619-a65e-5ac773482cb1-.json,2023-05-04T08:13:26.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
K70525A,https://www.cars.com/vehicledetail/b9da572d-7b12-45e4-8917-64e88caa7c5e/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-04-08-12-19/2023/price_20000-29999/https---www-cars-com-vehicledetail-b9da572d-7b12-45e4-8917-64e88caa7c5e-.json,2023-05-04T08:16:23.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
