card_id,url,source_file_name,scrap_date,source_id,dl_loaded_date
P15967,https://www.cars.com/vehicledetail/2de754f9-bb40-4131-98d3-4b6d490e95d1/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-01-08-00-22/2023/price_10000-19999/https---www-cars-com-vehicledetail-2de754f9-bb40-4131-98d3-4b6d490e95d1-.json,2023-05-01T08:01:24.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
P15968,https://www.cars.com/vehicledetail/3affd053-e328-4244-93ab-f739b7496f53/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-01-08-00-22/2023/price_10000-19999/https---www-cars-com-vehicledetail-3affd053-e328-4244-93ab-f739b7496f53-.json,2023-05-01T08:01:21.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
P15970,https://www.cars.com/vehicledetail/45094406-8f86-4d0d-ad0e-ff23f12f2ff8/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-01-08-00-22/2023/price_10000-19999/https---www-cars-com-vehicledetail-45094406-8f86-4d0d-ad0e-ff23f12f2ff8-.json,2023-05-01T08:01:27.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
P15966,https://www.cars.com/vehicledetail/d91a2c8e-34d3-46cc-9f3c-31eeab1db344/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-01-08-00-22/2023/price_10000-19999/https---www-cars-com-vehicledetail-d91a2c8e-34d3-46cc-9f3c-31eeab1db344-.json,2023-05-01T08:01:29.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
23804526,https://www.cars.com/vehicledetail/be1d92ac-9ac8-4b12-b5de-c375b56e426d/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-01-08-00-22/2023/price_20000-29999/https---www-cars-com-vehicledetail-be1d92ac-9ac8-4b12-b5de-c375b56e426d-.json,2023-05-01T08:06:09.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
KTDB433468,https://www.cars.com/vehicledetail/622a8ce6-25c7-42b0-9d5b-b0988f8f81e8/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-01-08-00-22/2023/price_20000-29999/https---www-cars-com-vehicledetail-622a8ce6-25c7-42b0-9d5b-b0988f8f81e8-.json,2023-05-01T08:02:49.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
23935142,https://www.cars.com/vehicledetail/04a27de5-acdc-4f4e-837b-845be77cdf7c/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-01-08-00-22/2023/price_20000-29999/https---www-cars-com-vehicledetail-04a27de5-acdc-4f4e-837b-845be77cdf7c-.json,2023-05-01T08:06:48.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
MP3556,https://www.cars.com/vehicledetail/cd4fec88-0dd2-4d57-9b1e-1f8280a4e1a4/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-01-08-00-22/2023/price_20000-29999/https---www-cars-com-vehicledetail-cd4fec88-0dd2-4d57-9b1e-1f8280a4e1a4-.json,2023-05-01T08:03:07.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
24047395,https://www.cars.com/vehicledetail/5b22aaba-937a-4777-a6dc-756d493859af/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-01-08-00-22/2023/price_20000-29999/https---www-cars-com-vehicledetail-5b22aaba-937a-4777-a6dc-756d493859af-.json,2023-05-01T08:03:12.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
23806817,https://www.cars.com/vehicledetail/fbe99afb-1667-4043-a5ff-4c0dc8fa83cb/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-01-08-00-22/2023/price_20000-29999/https---www-cars-com-vehicledetail-fbe99afb-1667-4043-a5ff-4c0dc8fa83cb-.json,2023-05-01T08:02:34.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
P15971,https://www.cars.com/vehicledetail/cfe548de-9d42-4fd3-b4b7-87b983a81caa/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-01-08-00-22/2023/price_10000-19999/https---www-cars-com-vehicledetail-cfe548de-9d42-4fd3-b4b7-87b983a81caa-.json,2023-05-01T08:01:23.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
P3017815A,https://www.cars.com/vehicledetail/0b10aac8-74de-47ad-aa75-756ee7cea676/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-01-08-00-22/2023/price_20000-29999/https---www-cars-com-vehicledetail-0b10aac8-74de-47ad-aa75-756ee7cea676-.json,2023-05-01T08:02:50.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
UMRN6533A,https://www.cars.com/vehicledetail/06b3ea78-d66c-412d-bd79-0b223870dd96/,file:///C:/Users/timofeygavrilenko/PycharmProjects/car_ads_scrapper/archived_data/CARS_COM/JSON/2023-05-01-08-00-22/2023/price_10000-19999/https---www-cars-com-vehicledetail-06b3ea78-d66c-412d-bd79-0b223870dd96-.json,2023-05-01T08:00:44.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
